Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Wolf Children,"Animation ,Drama ,Family ,Fantasy",2012,"aoimiyazaki ,takaoosawa ,harukuroki",mamoruhosoda,8.0,483.0,10.249497999999999,False,ja,"Hana, a nineteen-year-old college student, falls in love with a man only for him to reveal his secret; he is a Wolf Man. Eventually the couple bear two children together; a son and daughter they name Ame and Yuki who both inherit the ability to transform into wolves from their father. When the man Hana fell in love with suddenly dies, she makes the decision to move to a rural town isolated from society to continue raising the children in protection."
Pain & Gain,"Thriller ,Crime ,Action",2013,"markwahlberg ,dwaynejohnson ,anthonymackie",michaelbay,6.1,1595.0,9.218002,False,en,"Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story."
This Is the End,"Action ,Comedy",2013,"jamesfranco ,jonahhill ,sethrogen",sethrogen,6.2,2394.0,11.414048,False,en,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse."
Iron Man 3,"Action ,Adventure ,Science Fiction",2013,"robertdowneyjr. ,gwynethpaltrow ,doncheadle",shaneblack,6.8,8951.0,23.721242999999998,False,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
The English Teacher,"Comedy ,Drama",2013,"juliannemoore ,michaelangarano ,gregkinnear",craigzisk,5.8,117.0,9.673017,False,en,"Teacher Linda Sinclair (Julianne Moore) balances her staid home life with an incredible passion for her subject, but her routine is forever altered when a former star pupil and his unsupportive father reenter her life. Go-to television director Craig Zisk, whose credits include Scrubs, Weeds and United States of Tara, takes a turn on the big screen with this insightful comedy about self-discovery co-starring Greg Kinnear, Nathan Lane, Michael Angarano and Lily Collins."
Mud,Drama,2013,"matthewmcconaughey ,tyesheridan ,jacoblofland",jeffnichols,7.0,1080.0,7.8815789999999994,False,en,Two teenage boys encounter a fugitive and make a pact to help him escape from an island in the Mississippi.
Bill Hicks: Revelations,Comedy,1993,billhicks,chrisbould,8.5,21.0,1.0699020000000001,False,en,"Since his untimely death from pancreatic cancer in 1994, Bill Hicks has become a comedy legend. Now fans who may have never had the opportunity to see his act live on-stage will finally be able to experience Hicks' unique and confrontational brand of comedy."
Legendary Weapons of China,"Action ,Foreign",1982,"karahui ,gordonliuchia-hui ,liuchia-liang",liuchia-liang,6.7,9.0,0.9957739999999999,False,zh,"Legendary Weapons of China is a martial arts fantasy film taking place during the late Qing Dynasty when Empress Dowager Cixi dispatches her agents to various factions of the Boxer Rebellion in order find supernatural martial artists that are invulnerable to western bullets. When one of the leaders of these groups disbands his forces, assassins from the remaining factions are sent out to kill him."
Pawn,"Crime ,Thriller",2013,"forestwhitaker ,nikkireed ,seanfaris",davida.armstrong,5.4,54.0,4.525671,False,en,A petty robbery spirals into a tense hostage situation after three gunmen hold up a diner that's a front for the mob.
Syrup,"Drama ,Comedy",2013,"amberheard ,shilohfernandez ,brittanysnow",aramrappaport,5.7,87.0,5.236985,False,en,"A slacker hatches a million-dollar idea. But, in order to see it through, he has to learn to trust his attractive corporate counterpart. Based on Max Barry's novel."
The Woman in the Fifth,"Thriller ,Mystery",2011,"ethanhawke ,kristinscottthomas ,joannakulig",pawełpawlikowski,5.0,29.0,5.829328,False,en,An American writer moves to Paris to be closer to his daughter and finds himself falling immediately on hard times.
The Great Gatsby,"Drama ,Romance",2013,"leonardodicaprio ,tobeymaguire ,careymulligan",bazluhrmann,7.3,3885.0,17.598936,False,en,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await."
Star Trek Into Darkness,"Action ,Adventure ,Science Fiction",2013,"chrispine ,zacharyquinto ,zoesaldana",j.j.abrams,7.4,4479.0,15.78129,False,en,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew."
Wish You Were Here,"Drama ,Comedy ,Thriller ,Mystery ,Romance",2012,"joeledgerton ,teresapalmer ,felicityprice",kierandarcy-smith,5.2,26.0,1.302359,False,en,"Four friends lose themselves in a carefree South-East Asian holiday. Only three come back. Dave and Alice return home to their young family desperate for answers about Jeremy's mysterious disappearance. When Alice's sister Steph returns not long after, a nasty secret is revealed about the night her boyfriend went missing. But it is only the first of many. Who amongst them knows what happened on that fateful night when they were dancing under a full moon in Cambodia?"
The Internship,Comedy,2013,"owenwilson ,vincevaughn ,rosebyrne",shawnlevy,6.1,1691.0,0.393865,False,en,Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.
Stories We Tell,Documentary,2012,"michaelpolley ,harrygulkin ,susybuchan",sarahpolley,7.1,77.0,13.922815,False,en,Filmmaker Sarah Polley interviews members of her family as they look back on decades-old events.
Ivan Vasilyevich Changes His Profession,"Comedy ,Science Fiction",1973,"aleksandrdemyanenko ,yuriyyakovlev ,leonidkuravlyov",leonidgayday,7.8,62.0,4.700685,False,ru,"Shurik Timofeev builds a working model of a time machine. By accident, Ivan Bunsha, an apartment complex manager, and George Miloslavsky, a petty burglar, are transferred to 16th century Moscow, while Tsar Ivan the Terrible goes into the year 1973."
Only God Forgives,"Drama ,Thriller ,Crime",2013,"ryangosling ,kristinscottthomas ,gordonbrown",nicolaswindingrefn,5.6,886.0,6.069475,False,en,"Julian, who runs a Thai boxing club as a front organization for his family's drug smuggling operation, is forced by his mother Jenna to find and kill the individual responsible for his brother's recent death."
The Hangover Part III,Comedy,2013,"bradleycooper ,edhelms ,zachgalifianakis",toddphillips,6.0,2991.0,25.085639,False,en,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off."
Fast & Furious 6,"Action ,Thriller ,Crime",2013,"vindiesel ,paulwalker ,dwaynejohnson",justinlin,6.7,5282.0,1.6576369999999998,False,en,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty."
Epic,"Animation ,Adventure ,Family ,Fantasy",2013,"joshhutcherson ,amandaseyfried ,colinfarrell",chriswedge,6.4,1143.0,11.913405000000001,False,en,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world -- and ours.
The Past,"Drama ,Mystery",2013,"bérénicebejo ,taharrahim ,alimosaffa",asgharfarhadi,7.1,161.0,9.166555,False,fr,"After four years apart, Ahmad returns to his wife Marie in Paris in order to progress their divorce. During his brief stay, he cannot help noticing the strained relationship between Marie and her daughter Lucie. As he attempts to improve matters between mother and daughter Ahmad unwittingly lifts the lid on a long buried secret..."
The Broken Circle Breakdown,Drama,2012,"veerlebaetens ,johanheldenbergh ,nellcattrysse",felixvangroeningen,7.7,341.0,12.507625,False,nl,The loss of their young daughter threatens to destroy the love and faith of two married musicians.
Frances Ha,"Comedy ,Drama",2013,"gretagerwig ,mickeysumner ,adamdriver",noahbaumbach,7.3,358.0,8.471414999999999,False,en,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks."
Behind the Candelabra,"Drama ,Romance",2013,"michaeldouglas ,mattdamon ,roblowe",stevensoderbergh,6.6,307.0,7.3394509999999995,False,en,"Based on the autobiographical novel, the tempestuous 6-year relationship between Liberace and his (much younger) lover, Scott Thorson, is recounted."
After Earth,"Science Fiction ,Action ,Adventure",2013,"jadensmith ,willsmith ,sophieokonedo",m.nightshyamalan,5.0,2579.0,10.747641999999999,False,en,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance."
Now You See Me,"Thriller ,Crime",2013,"jesseeisenberg ,markruffalo ,woodyharrelson",louisleterrier,7.3,5635.0,17.852022,False,en,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.
Lovelace,Drama,2013,"amandaseyfried ,petersarsgaard ,hankazaria",robepstein,6.0,234.0,6.3835120000000005,False,en,"Story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life."
The Way Way Back,"Comedy ,Drama",2013,"liamjames ,stevecarell ,tonicollette",jimrash,7.1,695.0,10.342737,False,en,"Over the course of his summer break, a teenager comes into his own thanks in part to the friendship he strikes up with one of the park's managers."
Foxfire,Drama,2012,"ravenadamson ,katiecoseni ,madeleinebisson",laurentcantet,5.5,17.0,7.025917999999999,False,en,"Set in the 1950s, a a group of young girls in upstate New York form their own gang."
Man of Steel,"Action ,Adventure ,Fantasy ,Science Fiction",2013,"henrycavill ,amyadams ,michaelshannon",zacksnyder,6.5,6462.0,18.538834,False,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind."
The Kings of Summer,"Comedy ,Drama",2013,"nickrobinson ,gabrielbasso ,moisésarias",jordanvogt-roberts,7.0,427.0,6.25805,False,en,"Joe Toy, on the verge of adolescence, finds himself increasingly frustrated by his single father, Frank's attempts to manage his life. Declaring his freedom once and for all, he escapes to a clearing in the woods with his best friend, Patrick, and a strange kid named Biaggio. He announces that they are going to build a house there, free from responsibility and parents. Once their makeshift abode is finished, the three young men find themselves masters of their own destiny, alone in the woods."
20 Feet from Stardom,"Documentary ,Music",2013,"bettemidler ,mickjagger ,sting",morganneville,7.4,85.0,8.283621,False,en,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now."
The Bling Ring,"Drama ,Crime",2013,"katiechang ,israelbroussard ,emmawatson",sofiacoppola,5.3,1205.0,7.913028999999999,False,en,"Inspired by actual events, a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes."
Monsters University,"Animation ,Family",2013,"billycrystal ,johngoodman ,stevebuscemi",danscanlon,7.0,3622.0,16.267502,False,en,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.
Fullmetal Alchemist: The Sacred Star of Milos,"Adventure ,Fantasy ,Animation ,Action ,Science Fiction",2011,"riekugimiya ,shin'ichiroumiki ,fumikoorikasa",kazuyamurata,6.9,55.0,2.4634009999999997,False,ja,"After a mysterious prisoner with only a few weeks left on his sentence breaks out of prison in Central City, the Elric brothers attempt to track him down. The search leads them to Table City in the southwestern country of Creta, where Alphonse rescues a young alchemist named Julia from the very man they are trying to capture. In the thick of the fight, they literally tumble into Julia's home turf, the slums of Milos Valley, and are embroiled in the grassroots rebellion of her people."
Not Suitable For Children,"Comedy ,Romance",2012,"ryankwanten ,bojananovaković ,laurabrent",petertempleman,5.3,49.0,6.431209,False,en,A young playboy who learns he has one month until he becomes infertile sets out to procreate as much as possible.
Pacific Rim,"Action ,Science Fiction ,Adventure",2013,"idriselba ,charliehunnam ,charlieday",guillermodeltoro,6.7,4903.0,33.949359,False,en,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse."
The Best Offer,"Drama ,Romance ,Crime ,Mystery",2013,"geoffreyrush ,jimsturgess ,sylviahoeks",giuseppetornatore,7.7,719.0,8.995603,False,en,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her family’s priceless art collection, Virgil allows himself to form an attachment to her – and soon he is engulfed by a passion which will rock his bland existence to the core."
World War Z,"Action ,Drama ,Horror ,Science Fiction ,Thriller",2013,"bradpitt ,mireilleenos ,abigailhargrove",marcforster,6.7,5683.0,26.114917000000002,False,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls."
Elysium,"Science Fiction ,Action ,Drama ,Thriller",2013,"mattdamon ,jodiefoster ,sharltocopley",neillblomkamp,6.4,3510.0,15.232738000000001,False,en,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds."
What Maisie Knew,Drama,2013,"alexanderskarsgård ,juliannemoore ,stevecoogan",scottmcgehee,7.4,149.0,8.535611,False,en,"Based on the Henry James novella, the story frames on 7-year-old Maisie, caught in a custody battle between her mother – a rock and roll icon – and her father. What Maisie Knew is an evocative portrayal of the chaos of adult life seen entirely from a child’s point of view."
American Mary,"Horror ,Thriller",2012,"katharineisabelle ,juliamaxwell ,antoniocupo",jensoska,5.8,167.0,9.912269,False,en,A young med student struggling with her tuition fees is drawn into the shady world of underground body modification.
Despicable Me 2,"Animation ,Comedy ,Family",2013,"stevecarell ,kristenwiig ,benjaminbratt",pierrecoffin,7.0,4729.0,24.82355,False,en,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.
White House Down,"Action ,Drama ,Thriller",2013,"channingtatum ,jamiefoxx ,joeyking",rolandemmerich,6.3,1910.0,9.920223,False,en,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country."
The World's End,"Comedy ,Action ,Science Fiction",2013,"simonpegg ,nickfrost ,martinfreeman",edgarwright,6.7,1820.0,9.830382,False,en,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.
The Heat,"Action ,Comedy ,Crime",2013,"sandrabullock ,melissamccarthy ,demiánbichir",paulfeig,6.5,1595.0,12.706403,False,en,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: Buddies."
The Lone Ranger,"Action ,Adventure ,Western",2013,"johnnydepp ,armiehammer ,williamfichtner",goreverbinski,5.9,2361.0,12.729104,False,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice."
Woody Allen: A Documentary,Documentary,2011,"woodyallen ,dianekeaton ,scarlettjohansson",robertb.weide,7.5,56.0,2.945649,False,en,"Iconic writer, director, actor, comedian and musician Woody Allen allowed his life and creative process to be documented on-camera for the first time. With this unprecedented access, Emmy-winning, Oscar-nominated filmmaker Robert B. Weide followed the notoriously private film legend over a year and a half to create the ultimate film biography. ""Woody Allen: A Documentary"" chronicles Allen's career - from teen writer to Sid Caesar's TV scribe, from stand-up comedian to award-winning writer-director averaging one film-per-year for more than 40 years. Exploring Allen's writing habits, casting, directing, and relationship with his actors first-hand, new interviews with A-listers, writing partners, family and friends provide insight and backstory to the usually inscrutable filmmaker."
Passion,"Thriller ,Drama ,Crime ,Mystery",2012,"rachelmcadams ,noomirapace ,karolineherfurth",briandepalma,5.1,146.0,10.260026,False,en,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.
The Knot,"Comedy ,Romance",2012,"noelclarke ,menasuvari ,matthewmcnulty",jesselawrence,3.4,10.0,1.005983,False,en,A couple endures a series of mishaps right before their wedding day.
The Spectacular Now,"Comedy ,Drama ,Romance",2013,"milesteller ,shailenewoodley ,brielarson",jamesponsoldt,6.8,1074.0,8.098964,False,en,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl."""
The Lifeguard,"Drama ,Comedy ,Romance",2013,"kristenbell ,mamiegummer ,martinstarr",lizw.garcia,5.2,126.0,5.499664,False,en,A former valedictorian quits her reporter job in New York and returns to the place she last felt happy: her childhood home in Connecticut. She gets work as a lifeguard and starts a dangerous relationship with a troubled teenager.
Sharknado,"TV Movie ,Horror",2013,"ianziering ,tarareid ,cassandrascerbo",anthonyc.ferrante,3.8,484.0,4.928195,False,en,"A freak hurricane hits Los Angeles, causing man-eating sharks to be scooped up in tornadoes and flooding the city with shark-infested seawater. Surfer and bar-owner Fin sets out with his friends Baz and Nova to rescue his estranged wife April and teenage daughter Claudia"
Fruitvale Station,Drama,2013,"michaelb.jordan ,octaviaspencer ,meloniediaz",ryancoogler,7.3,397.0,13.305596,False,en,"The true story of Oscar, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008."
R.I.P.D.,"Fantasy ,Action ,Comedy ,Crime",2013,"jeffbridges ,ryanreynolds ,kevinbacon",robertschwentke,5.4,1280.0,9.369679,False,en,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him. Based on the comic by Peter M. Lenkov.
Justice League: The Flashpoint Paradox,"Fantasy ,Science Fiction ,Animation ,Action ,Adventure",2013,"justinchambers ,kevinconroy ,kevinmckidd",jayoliva,7.3,458.0,9.527559,False,en,"When time travel allows a past wrong to be righted for The Flash and his family, the ripples of the event prove disastrous as a fractured, alternate reality now exists where a Justice League never formed, and even Superman is nowhere to be found. Teaming with a grittier, more violent Dark Knight and Cyborg, Flash races to restore the continuity of his original timeline while this new world is ravaged by a fierce war between Wonder Woman's Amazons and Aquaman’s Atlanteans."
Joker,"Comedy ,Foreign",2012,"akshaykumar ,sonakshisinha",shirishkunder,3.3,10.0,0.966606,False,hi,"In 1947 when the maps of India and Pakistan were being drawn, an oversight ensured that the village of Paglapur didn't find a place in either country. Over 60 years later, Paglapur is isolated, and in need of help. The residents seek help, but as a direct result of being left off the map, they find noone willing to accept Paglapur, and its problems, as their jurisdiction. The villagers decide they need to draw media attention to Paglapur, and in so doing, gain acceptance and help from those who had previously denied them."
The Conjuring,"Horror ,Thriller",2013,"patrickwilson ,verafarmiga ,lilitaylor",jameswan,7.4,3169.0,14.901689999999999,False,en,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives."
An Angel Named Billy,Drama,2007,"dustinbelt ,allisonfleming ,amylondon",gregosborne,0.0,1.0,0.187181,False,en,"Mark Anderson, a recent stroke victim who is frail and weak. Also, his best friend Thomas, a classic over the hill drag queen desperate for love and happiness. Mark and Thomas have a master plan, to find Mark's son, James Anderson the love of his life once and for all."
Turbo,"Animation ,Family",2013,"ryanreynolds ,paulgiamatti ,michaelpeña",davidsoren,6.1,1094.0,8.979753,False,en,The tale of an ordinary garden snail who dreams of winning the Indy 500.
The Wolverine,"Action ,Science Fiction ,Adventure ,Fantasy",2013,"hughjackman ,hiroyukisanada ,famkejanssen",jamesmangold,6.3,4110.0,3.9182870000000003,False,en,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan."
Drinking Buddies,"Romance ,Drama",2013,"oliviawilde ,jakejohnson ,annakendrick",joeswanberg,6.0,361.0,7.745083,False,en,"Weekend trips, office parties, late night conversations, drinking on the job, marriage pressure, biological clocks, holding eye contact a second too long… you know what makes the line between “friends” and “more than friends” really blurry? Beer."
RED 2,"Action ,Comedy ,Crime ,Thriller",2013,"brucewillis ,catherinezeta-jones ,anthonyhopkins",deanparisot,6.4,1548.0,11.04233,False,en,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.
Miami Connection,"Action ,Crime",1987,"y.k.kim ,vincenthirsch ,josephdiamand",y.k.kim,6.0,28.0,1.972494,False,en,"In a world where ninjas dream of being rock stars and rock stars dream of being ninjas, a martial arts rock band goes up against a band of motorcycle ninjas who have tightened their grip on Florida's narcotics trade."
Coffee Town,Comedy,2013,"glennhowerton ,stevelittle ,benschwartz",bradcopeland,6.7,45.0,3.024814,False,en,Three thirty-something friends band together when their carefree existence is threatened.
Revenge for Jolly!,"Comedy ,Drama",2012,"brianpetsos ,oscarisaac ,elijahwood",chaddharbold,4.7,19.0,6.206395,False,en,"Harry (Brian Petsos) is having a very, very bad day. He returns home from an all-night drinking binge with his cousin Cecil (Oscar Issac), to discover that his little dog Jolly...Harry's one true love and the source of light in his dark, solitary life-has been murdered. Brokenhearted and beyond consolation, he vows to track down the dog's murderer at any cost. Armed with a stockpile of firepower in the trunk of his car, he and Cecil embark on a frenzied, alcohol-fueled wild-goose chase, leaving a bloody path of destruction in their wake."
2 Guns,"Action ,Comedy ,Crime",2013,"denzelwashington ,markwahlberg ,paulapatton",baltasarkormákur,6.6,1611.0,13.336511999999999,False,en,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.
Blue Jasmine,"Comedy ,Drama",2013,"cateblanchett ,alecbaldwin ,sallyhawkins",woodyallen,7.0,1126.0,12.61244,False,en,"Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own."
The Great Beauty,"Comedy ,Drama",2013,"toniservillo ,carloverdone ,sabrinaferilli",paolosorrentino,7.3,745.0,8.176134,False,it,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
Louis C.K.: Oh My God,Comedy,2013,louisc.k.,louisc.k.,7.7,66.0,3.460311,False,en,"Filmed at the Celebrity Theatre in Phoenix, AZ on February 15th and 16th, 2013, Oh My God is Louis C.K.'s fifth stand-up special, his first for HBO since 2007's Shameless, and his first since winning a Emmy Award for writing on his acclaimed show on FX, Louie.  Performed in the round in front of a live audience, he discusses such topics as the food chain, animals, divorce, strange anecdotes, broken morality, murder and mortality."
Percy Jackson: Sea of Monsters,"Adventure ,Family ,Fantasy",2013,"loganlerman ,alexandradaddario ,douglassmith",thorfreudenthal,5.9,1685.0,10.338222,False,en,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising."
The Smurfs 2,"Fantasy ,Family ,Comedy ,Animation",2013,"hankazaria ,neilpatrickharris ,brendangleeson",rajagosnell,5.5,711.0,10.640864,False,en,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?"
Alan Partridge: Alpha Papa,Comedy,2013,"stevecoogan ,annamaxwellmartin ,nigellindsay",declanlowney,6.5,184.0,10.130541000000001,False,en,"Alan Partridge has had many ups and downs in life. National television broadcaster. Responsible for killing a guest on live TV. Local radio broadcaster. Nervous breakdown in Dundee. A self-published book, 'Bouncing Back', which was subsequently remaindered and pulped. Alan Partridge: Alpha Papa portrays the events of the greatest low-to-high ebb spectrum in his life to date, namely how he tries to salvage his public career while negotiating a potentially violent turn of events at North Norfolk Digital Radio."
The Forsyte Saga,,1967,"kennethmore ,nyreedawnporter ,ericporter",nan,0.0,0.0,0.023148,False,en,Adaptation from John Galsworthy's novels.
Man of Tai Chi,"Action ,Drama",2013,"keanureeves ,tigerhuchen ,jeremymarinas",keanureeves,5.8,295.0,11.829231,False,en,"In Beijing, a young martial artist's skill places him in position to experience opportunities and sacrifices."
We're the Millers,"Comedy ,Crime",2013,"jasonsudeikis ,jenniferaniston ,willpoulter",rawsonmarshallthurber,6.8,3053.0,18.474368,False,en,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
Grown Ups 2,Comedy,2013,"adamsandler ,kevinjames ,chrisrock",dennisdugan,5.8,1180.0,9.411725,False,en,"The all-star comedy cast from Grown Ups returns (with some exciting new additions) for more summertime laughs. Lenny (Adam Sandler) has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises: the last day of school."
Kick-Ass 2,"Action ,Adventure ,Crime",2013,"aarontaylor-johnson ,chloëgracemoretz ,christophermintz-plasse",jeffwadlow,6.3,2275.0,13.570264000000002,False,en,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation."
Riddick,"Science Fiction ,Action ,Thriller",2013,"vindiesel ,karlurban ,kateesackhoff",davidtwohy,6.2,2066.0,9.596377,False,en,"Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction."
Planes,"Animation ,Family ,Adventure ,Comedy",2013,"danecook ,carlosalazraqui ,valkilmer",klayhall,5.7,568.0,11.604181,False,en,"Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends, Dusty sets off to make his dreams come true."
